text_es,text_en
RUPTURA DE MENICOS .,BREAKUP OF MENICOS.
TALLA BAJA,LOW SIZE
LESION LENGUA,TONGUE INJURY
LESION MENISCO RODILLA IZQ,LEFT KNEE MENISCUS INJURY
SD CONVULSIVO,CONVULSIVE DS
CATARATA OJO,EYE CATARACT
LESION LARINGE,LARYNX INJURY
HALLUX VALGUS DERECHO,RIGHT HALLUX VALGUS
LESION MANGUITO ROTADOR,ROTATOR Cuff INJURY
LESION MIEMBRO S UP IZQU,S UP LEFT LIMB INJURY
CONTROL DE ENFERMEDAD DIVERTICULAR,DIVERTICULAR DISEASE CONTROL
DISPLASIA CERVICAL,CERVICAL DYSPLASIA
QUISTE SENO IZQUIERDO,LEFT BREAST CYST
"ABSCESO CUTANEO, FURUNCULO Y CARBUNCO DE,""SKIN ABSCESS, BOIL AND CARBUNCLE"""
PLANIFICACION FAMILIAR,FAMILY PLANNING
HIPERTROFIA DE CORNETES Y DE AMIGDALAS,HYPERTROPHY OF THE CORNETS AND TONSILS
POP CX MANO DERECHA,POP CX RIGHT HAND
DOLOR EN MANO IZQUIERDA POS AMPUTACION DE FALANGES,PAIN IN LEFT HAND AFTER PHALANGE AMPUTATION
HIPOACUSIA DERECHA,RIGHT HEARING HEARING
HIPOACUSIA IZQUIERDA,LEFT HEARING HEARING
TUMOR EN CUERO CABELLUDO,SCALP TUMOR
PERFORACIÓN TIMPÁNICA,TYMPANIC PERFORATION
LESION MENISCO RODILLA  DERECHA,RIGHT KNEE MENISCUS INJURY
SSOPECHA DE GLAUCOMA,GLAUCOMA CHECK
HERNIA VENTRAL,VENTRAL HERNIA
GANGLIÓN,GANGLION
SECUELAS DE ESGUINCE TOBILLO DERECHA,SEQUELUES ​​OF RIGHT ANKLE SPRAIN
LESION SUBEPITELIAL DE ESOFAGO,SUBEPITHELIAL LESION OF ESOPHAGUS
ARTROSIS DE CADERA DER .,RIGHT HIP ARTHROSIS.
HALLUX VALGUS BILARTERAL,BILARTERAL HALLUX VALGUS
LESION RODILLA DER,RIGHT KNEE INJURY
REFLUJO VU,VU REFLUX
"EMB A TEMINO , G2A1,""EMB A TEMINO, G2A1"""
FRACTURA COMPLEJA EN TIBIA IZQUIERDO,COMPLEX FRACTURE IN LEFT TIBIA
CA BASOCELULAR CANTO INTERNO OI,BASIC CELLULAR CA INTERNAL EDGE LE
NODULO TIOIDEO HIPERCAPTANTE,HYPER CAPTAINING THIOID NODULE
SD NEFRÓTICO,NEPHROTIC SD
OTITIS MEDIA CRÓNICA,CHRONIC OTITIS MEDIA
CA BASOCELULAR PARPADO INFERIOR,BASAL CELLULAR CA LOWER EYELID
COLESTEATOMA OI,OI CHOLESTHEATOMA
DESPRENDIMIENTO DE RETINA,RETINAL DETACHMENT
POLIPO ENDOMETRIA .,ENDOMETRIAL POLYP.
SECUELAS DE QUEMADURA .,BURN SEQUELS.
JORNADA OPERACION SONRISA,OPERATION SMILE DAY
LABIO FISURADO,CLOSED LIP
QUELOPALATOSQUISIS,CHELOPALATOSCHISIS
QUELOPALATOSQUISIS BILATERAL,BILATERAL CHELOPALATOSCHISIS
LESION DE LIGAMENTO CRUZADO RODILLA,KNEE CRUCIATED LIGAMENT INJURY
CATARATA AO,CATARACT AO
SANGRADO VAGINAL,VAGINAL BLEEDING
HERIDA PRECORDIAL CON ARMA BLANCA,PRECORDIAL WOUND WITH WHITE WEAPON
LESIÓN IATROGÉNICA DE VÍA BILIAR,IATROGENIC BILE WAY INJURY
HIPERTROFIA DE CORNETES Y ADENOIDES.,HYPERTROPHY OF CORNETES AND ADENOIDS.
ESTENOSIS SUBGLÓTICA,SUBGLOTTIC STENOSIS
SD MANGUITO ROTADOR,SD ROTATOR Cuff
CARCINOMA DUCTAL,DUCTAL CARCINOMA
FIMOSIS + ESTRECHEZ URETRAL,PHIOSIS + URETHRAL Narrowness
ESTENOSIS ESOFÁGICA,ESOPHAGEAL STENOSIS
ENDOMETRIOSIS DEL UTERO,ENDOMETRIOSIS OF THE UTERUS
TALLA BAJA PARA EDAD,LOW SIZE FOR AGE
HALLUX VALGUS (ADQUIRIDO),HALLUX VALGUS (ACQUIRED)
ESPASTICIDAD,SPASTICITY
LEWION CONDRAL HUMERO DERECHO,LEWION CHONDRAL RIGHT HUMEROUS
PRUPTURA DE LABRUM ACETABULAR,ACETABULAR LABRUM PRUPTURE
LEIÓN DED MENICO RODILLA IZQ,LEFT MENICUS KNEE INJURY
TUMOR PIE IZQ Y COMPRESION NERVIOSA,LEFT FOOT TUMOR AND NERVOUS COMPRESSION
POP TRANSPLANTE DE CORNEA,POP CORNEAL TRANSPLANTATION
RABDOMIOSARCOMA,RHABDOMYOSARCOMA
DESVIACIÓN DE TABIQUE  HIPERTRFOFIA DE CORNETES .,SEPTOM DEVIATION CORNETAL HYPERTROPPHY.
CATETYER IMPLANTABLE,IMPLANTABLE CATETYER
HERNIA INGUINAL,INGUINAL HERNIA
LESION DE HOMBRO DERECHO .,RIGHT SHOULDER INJURY.
INFECCIONES URINARIAS,URINARY INFECTIONS
"OSTEOCONDROPATIA, NO ESPECIFICADA,""OSTEOCHONDROPATHY, UNSPECIFIED"""
MIOMA,MIOMA
DOLRO ENRODILLA IZQUIERDA,LEFT KNEE PAIN
CUERNO UTERINO EN ESTUDIO,UTERINE HORN IN STUDY
ARRITMIA,ARRHYTHMIA
TUMO DE CELULARS GIGANTES DE LA SINOVIAL,GIANT CELL TUMO OF THE SYNOVIAL
HEMORRAGIA UTERINA ANORMAL,ABNORMAL UTERINE HEMORRHAGE
VARICES EN MMII,VARICES IN MMII
CA DE MAMA IZQUIERDO,LEFT BREAST AC
NÓDULO EN CUERDA VOCAL IZQUIERDA .,NODULE IN LEFT VOCAL CORD.
CEFALEA CRONICA,CHRONIC HEADACHE
TUMOR EN AMÍGDALA,TUMOR IN TONSIL
LESIÓN DE MANGUITO ROTADOR.,ROTATOR CUFF INJURY.
MAV CEREBRAL,BRAIN AVM
QUEMADURA CAUSTICA,CAUSTIC BURN
H INGUINAL DERECHA,RIGHT INGUINAL H
IQ: HALLUX VALGUS BILATERAL,IQ: BILATERAL HALLUX VALGUS
CA BASOCELULAR  PARPADO INFERIOR DERECHO,BASAL CELLULAR CA RIGHT LOWER EYELID
LESION LCA RODILLA IZQDA,LEFT KNEE ACL INJURY
HIPERTROFIA DE CORNETE Y ADENOIDES .,HYPERTROPHY OF THE CORNETE AND ADENOIDS.
FRACTURA DE HUMERO,HUMEROUS FRACTURE
TENOSINOVITIS EN MANO,TENOSYNOVITIS IN THE HAND
CA MAMA DERECHA,CA MAMA RIGHT
LESIÓN EN TOBILLO DERECHO .,RIGHT ANKLE INJURY.
ESIONES EN PÁRPADOS .,ESIONS ON EYELIDS.
MALFORMACION ARTERIOVENOSA,ARTERIOVENOUS MALFORMATION
QUISTE PIDÉRMIO MAMA DRECHA,RIGHT BREAST PYDERMAL CYST
PTERIGIO OJO DERECHO.,RIGHT EYE PTERGYGUM.
OTITIS MEDIA CON EFUSION CON HIPOACUSIA SECUNARIA,OTITIS MEDIA WITH EFUSION WITH SECUNARY HYPOAUSIA
SINUSITIS CRONICA,CHRONIC SINUSITIS
ARTROSIS DE CADERA IZQ,LEFT HIP ARTHROSIS
PREPUCIO REDUNDANTE,REDUNDANT FORESPUCE
DEFORMIDAD TORAX,CHEST DEFORMITY
ESTRIDOR LARÍNGEO,LARYNGEAL STRIDOR
INSUFICIENCIA VENOSA,VENOUS INSUFFICIENCY
CATARATA SENIL,SENIL CATARACT
HERNIA EPIGÁSTRICA,EPIGASTRIC HERNIA
FRACTURA DE LISFRANC,LISFRANC FRACTURE
RETRASO MENTAL,MENTAL RETARDATION
CA BASOCELULAR OD,CA BASOCELLULAR OD
CATARATA SENIL .,SENIL CATARACT.
NISTAGMUS,NISTAGMUS
G3A1P1  EMB A TERMINO,G3A1P1 EMB TO TERM
PANCREATITIS,PANCREATITIS
HIPERHIDROSIS,HYPERHYDROSIS
CARIES,CARIES
ONFALOCELE,OMPHALOCELE
POLIPO PEDICULADO.,PEDICULATE POLYP.
SX TUNEL CARPO,SX CARPAL TUNNEL
"HEMORRAGIA VAGINAL Y UTERINA ANORMAL, NO,""ABNORMAL VAGINAL AND UTERINE HEMORRHAGE, NO"""
ESTENOSIS AÓRTICA SEVERA.,SEVERE AORTIC STENOSIS.
EVENTRACION,EVENTRATION
TERATOMA,TERATOMA
TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TE,BENIGN LIPOMATOUS SKIN AND TEA TUMOR
DISMENORREA,DYSMENORRHEA
NEUMONIA,PNEUMONIA
MENINGIOMA DE LA BASE DEL CRÁNEO,MENINGIOMA OF THE BASE OF THE SKULL
EMBARAZO A TÉRMINO,TERM PREGNANCY
MENORRAGIA,MENORRHAGIA
CARCINOMA DE CERVIX .,CERVIX CARCINOMA.
RUPTURA DE TENDÓN DE AQUILES,ACHILLES TENDON RUPTURE
DISPEPSIA,DYSPEPSIA
CA BASOCELULAR MALAR IZQUIERDO,LEFT MALAR BASIC CELLULAR AC
DEDOS N MARTILLO,FINGERS N HAMMER
TUMOR BENIGNO MAMA IZDA,BENIGN LEFT BREAST TUMOR
"NODLODS N MEDIASTINO , HILIARES .,""NODLODS N MEDIASTINO, HILIARES."""
DILATACIQUISTE DEL COLEDOCO,DILATACYCYST OF THE CHOLEDOCUS
ÑLIGADURA DE TROMPAS POR LAPAROSCOPIA .,TUBAL LIGATION BY LAPAROSCOPY.
TUNEL CARPIANO.,CARPAL TUNNEL.
DESVIACIÓN SEPTAL HIPERTROFIA DE CORNETES,SEPTAL DEVIATION CORNETAL HYPERTROPHY
LESION TENDON BICEPS,BICEPS TENDON INJURY
MASA EN ESPALDA,MASS ON THE BACK
TTNO ATM DERECHA,TTNO ATM RIGHT
LESION NER CUBITAL M SUP IZQ,CUBITAL NER INJURY M SUP LEFT
AMENORREA.,AMENORRHEA.
MASA DISTAL FEMUR DERECHO,RIGHT FEMUR DISTAL MASS
LESION LCA + MEJISCO RODILLA IZQ,ACL INJURY + LEFT KNEE MUSK
HERNIA UMBILICAL + EPIGASTRICA.,UMBILICAL + EPIGASTRIC HERNIA.
CA DE PROSTATA,PROSTATE AC
PACIENTE SANO,HEALTHY PATIENT
TTNO CONVULSIVO,CONVULSIVE TTNO
ERGE,GERD
FIBROMA TIBIA IZDA,LEFT TIBIA FIBROMA
CEFALEA,HEADACHE
QUISTE OSEO 5 DEDO MANO IZQ,BONE CYST 5 FINGER LEFT HAND
TUMOR EN REGIÓN POPLÍTEA .,TUMOR IN POPLITEA REGION.
EMBARAZO,PREGNANCY
ESTRECHEZ URETRAL .,URETHRAL Narrowness.
VASCULITIS RETINIANA,RETINAL VASCULITIS
NEUROFIBROMATOSIS,NEUROFIBROMATOSIS
.,
ARTROSIS DE RODILLA IZQ,LEFT KNEE ARTHROSIS
POLIPO RECTAL,RECTAL POLYP
MASA EN TIBIA,WARM DOUGH
"HERNIA UMBILICAL , INGUINAL BILATERAL , LESION HALLUX BILATERAL  Y TUMOR EN TOBILLO IZQ,""UMBILICAL HERNIA, BILATERAL INGUINAL, BILATERAL HALLUX LESION AND TUMOR IN LEFT ANKLE"""
REFLUJO GASTROESOFAGICO,GASTROESOPHAGEAL REFLUX
LESION DE MANGUITO ROTADOR,ROTATOR Cuff INJURY
COLON IRRITABLE,IRRITABLE COLON
TABIQUE INTERVAGINAL,INTERVAGINAL SEPTUM
LESION LCA,ACL INJURY
ATROFIA DEL REBORDE ALVEOLAR DESDENTADO,ATROPHY OF THE EDENTOOL ALVEOLAR FRIEND
HIPERTROFIA DE ADENOIDES + DISFUNCIOD E LA TROMPA DE EUSTAQUIO,ADENOID HYPERTROPHY + EUSTACHIAN TUB DYSFUNCTION
SD DE MARFAN,MARFAN SD
EPILEPSIA FOCAL,FOCAL EPILEPSY
FX DE HUMERO,HUMERO FX
ESGUINCE DE TOBILLA,ANKLE SPRAINED
DX SD DE TUNEL DEL CARPO BILATERAL,DX SD OF BILATERAL CARPAL TUNNEL
LUCOFRACTURADE LISFRANC,LISFRANC LUCOFRACTURE
CAMBIOS INFLAMATORIOS SOBRE EL PREPUCIO,INFLAMMATORY CHANGES ABOUT THE FORESPUCE
DEFECTO DE COBERTURA EN TRAUMA PIE IZQUIERDO,COVERAGE DEFECT IN LEFT FOOT TRAUMA
CICATRICES EN CARA,SCARS ON FACE
LIPOMA EN  REGION  INGUINAL IZQUIERDA,LIPOMA IN LEFT INGUINAL REGION
LESION  MENISCO RODILLA IZQ,LEFT KNEE MENISCUS INJURY
HIPOXIA PERINATAL,PERINATAL HYPOXIA
BLOQUEO AV COMPLETO,COMPLETE AV BLOCK
CIA,INC
LESIONES EN  BOCA,MOUTH INJURIES
POP PECTUS EXCAVATUM,POP PECTUS EXCAVATUM
DOLOR HUMERO,HUMEROUS PAIN
QUISTE OVARICO,OVARIAN CYST
HIDROSALPINGX,HYDROSALPINGX
DOLOR ABDOMINAL PELVICO CRONICO,CHRONIC PELVIC ABDOMINAL PAIN
TUMOR EN TIBIA DERECHA,TUMOR IN RIGHT TIBIA
MIOMA SUBMUCOSO,SUBMUCOUS MYOMA
ANEURISMOA DE CARÓTIFDA INTERNA IZQUIERDA .,LEFT INTERNAL CAROTIFDA ANEURYSM.
DISPEPIA,DYSPEPIA
SECUELAS DE INTUBACIÓN PROLONGADA -.,SEQUELAE OF PROLONGED INTUBATION -.
ACALASIA,ACHALASIA
ENFERMEDAD POR RGE,GER DISEASE
DEDOS EN GATILLO,TRIGGER FINGERS
OSTEOMIELITIS TIBIA DERECHA,RIGHT TIBIA OSTEOMYELITIS
INESTABILIDAD DE LA M.T.F,INSTABILITY OF THE M.T.F.
FRENILLO LINGUAL,LINGUAL FRENUM
LESION TENDON DE AQUILES,ACHILLES TENDON INJURY
NEVUS MELANOCITICO PIE DER,MELANOCYTIC NEVUS RIGHT FOOT
HALLUX VALGUS BILATERAL,BILATERAL HALLUX VALGUS
MASA EN ANTEBRAZO DERECHO,MASS IN RIGHT FOREARM
HERNIA DISCAL L3-L4,DISC HERNIATION L3-L4
SANGRADO RECTAL EN ESTUDIO,RECTAL BLEEDING ON STUDY
INSUFICIENCIA VENOSA GONADAL,GONADAL VENOUS INSUFFICIENCY
IVU,UTI
TESTÍCULO NO DESCENDIDO DERECHO,RIGHT UNDESCENT TESTICLE
COLECISTO LITIASIS,CHOLECYST LITHIASIS
CA BASOCELULAR PIEL CARA,BASE CELLULAR CA SKIN FACE
TESTICULO NO DESCENDIDO,UNDESCENDED TESTICLE
POP ASTROCITOMA,POP ASTROCYTOMA
TOS CRPNICA.,CROPNIC COUGH.
APENDICITIS AGUDA.,ACUTE APPENDICITIS.
HIPERTROFIA DE ADENOIDES Y ORNETES .,HYPERTROPHY OF ADENOIDS AND ORNETS.
METATARSALGIA BILATERAL POR METATARSOS PLUES 2-3-4 BILATERAL,BILATERAL METATARSALGIA BY METATARSUS PLUES 2-3-4 BILATERAL
DIARREA CRÓNICA,CHRONIC DIARRHEA
SD TUNEL DEL CARPO,SD CARPAL TUNNEL
G2P0  EMB A TERMINO,G2P0 EMB TO TERM
FISTULECTOMIA Y HEMORROIDECTOMIA,FISTULECTOMY AND HEMORRHOIDECTOMY
PTOSIS PALPEBRAL,EYELID PTOSIS
FRENILLO REDUNDANTE,REDUNDANT BRAKE
CATARATA BILATERAL,BILATERAL CATARACT
DESVIACION SEPTA,SEPTAL DEVIATION
G2C1 EAT,G2C1 EAT
SINDROME DEL TUNEL CARPIANO,CARPAL TUNNEL SYNDROME
"HIPOACUSIA NEUROSENSORIAL, SIN OTRA ESPE,""NEUROSENSORY HEARING HEARING, WITHOUT OTHER SPECIFICATIONS"""
VARICOCELE BILATERAL,BILATERAL VARICOCELE
ANEMIA EN ESTUDIO,ANEMIA IN STUDY
CONDILOMAS ANALES.,ANAL CONDYLOMAS.
GINECOMASTIA,GYNECOMASTIA
FOCOS SEPTICOS DENTARIOS,DENTAL SEPTIC FOCUS
"TUMOR RETINA IZQUIERDO , CATETER IMPLANTABLE,""LEFT RETINAL TUMOR, IMPLANTABLE CATHETER"""
HIDROSALPINX,HYDROSALPINX
INFLAMACION PERIPROTESICA MAXILAR INFERIOR,LOWER MAXILLARY PERIPROSTHETIC INFLAMMATION
TUMOR PALPEBRAL OJO IZQUIERDO,LEFT EYE PALPEBRAL TUMOR
LESION MENISCO MEDIAL RODILLA IZQUIERDA,MEDIAL MENISCUS INJURY LEFT KNEE
TUMOR OJO DERECHO,RIGHT EYE TUMOR
POP TRANSPLANTE RENAL CADAVERICO,POP CADAVERAL KIDNEY TRANSPLANTATION
TRAUMA COLUMNA,SPINE TRAUMA
PALADAR HENDIDO,Cleft PALATE
LABIO Y PALADAR HENDIDO,CLEFT LIP AND PALATE
LABIO HENDIDO BILATERAL.,BILATERAL Cleft LIP.
FISURADO Y PALADA,CRACKING AND SHOVING
CA ESCAMOCELULAR FRONTAL DERECHO.,RIGHT FRONT SQUAMOCELLULAR CA.
HIPETTROFIA DE CORNETES,CORNETAL HYPETTROPHY
ESOFAGITIS .,ESOPHAGITIS.
FRACTURA HUESO MANO,HAND BONE FRACTURE
TTORNO DE ANSIEDAD,ANXIETY DISORDER
"FIMOSIS , VALVAS URETRALES POSTERIORES .,""PHIMOSIS, POSTERIOR URETHRAL VALVES."""
CA COLON,CA COLON
HIPERHIDROSIS MANOS,HANDS HYPERHYDROSIS
TUMOR MANO IZQUIERDA,LEFT HAND TUMOR
RGE-ESOFAGITIS?,GER-ESOPHAGITIS?
TUMOR DE AMIGDALA,TONSILLA TUMOR
FOCOS SEPTICOS DENTALES,DENTAL SEPTIC FOCUS
QUISTE OVARIO,OVARIAN CYST
RUPTURA LIGAMENTO CRUZADO ANTERIOR,ANTERIOR CRUCIATED LIGAMENT RUPTURE
EVENTRACION ABDOMINAL,ABDOMINAL EVENTRATION
DOLOR ABDOMINAL-RGE,ABDOMINAL PAIN-GER
TUNEL DEL CARPO MANO IZDA,LEFT HAND CARPAL TUNNEL
METATARSALGIA,METATARSALGIA
SINDROME TUNEL DEL CARPO MANO IZQUIERDA,LEFT HAND CARPAL TUNNEL SYNDROME
SINDROME TUNEL DEL CARPO MANO DERECHA,RIGHT HAND CARPAL TUNNEL SYNDROME
MASA NASAL DER,RIGHT NASAL MASS
FRACTURA DE CUBITO Y RADIO DERECHOS REDUCIDA,REDUCED RIGHT CUBA AND RADIUS FRACTURE
ESOFAGITIS,ESOPHAGITIS
LUMBALGIA A ESTUDIO,LUMBALGIA TO STUDY
TERAPIA ENDOVASCULAR QUISTE BRAQUIAL IZQUIERDO,ENDOVASCULAR THERAPY LEFT BRACHIAL CYST
REFLUJO GE,GE REFLUX
HIPERPLASIA PROSTATICA,PROSTATIC HYPERPLASIA
FX FEMUR DERECHO,FX RIGHT FEMUR
"OSTEOCONDROMA, HEMANGIOMA,""OSTEOCHONDROMA, HEMANGIOMA"""
TUMOR OVARIO,OVARIAN TUMOR
TUMOR DE OVARIO IZQUIERDO,LEFT OVARIAN TUMOR
UBERTAD PRECOZ,EARLY UBERTAD
MASA MEDIASTINAL,MEDIASTINAL MASS
TUMOR EN HUESO FRONTAL,TUMOR IN FRONTAL BONE
FRACTURA D EPILON TIBIAL,TIBIAL EPILO FRACTURE
GANGLION TENOSINOVITIS,GANGLION TENOSYNOVITIS
CBC LABIO,CBC LIP
REFUJO GASTROESOFAGICO,GASTROESOPHAGEAL REFUGE
POP FX M SUP IZQ,POP FX M SUP LEFT
NEUROMAS DE MUÑON AMPUTADO,NEUROMAS OF AMPUTATED STUMMP
ESTENOSIS SUBGLOTICA,SUBGLOTTIC STENOSIS
POP OSTEOS FX MANO DERECHA,POP OSTEOS FX RIGHT HAND
CA ESCAMOCELULAR LABIO INFERIOR,SQUAMOCELLULAR CA LOWER LIP
EQUINO VARO IZQUIERDO,LEFT VARUUS EQUINUS
FISTULA ORO ANTRAL,GOLD ANTRAL FISTULA
NODULO MAMARIO ENF FIBROQUISTICA,BREAST NODULE ENF FIBROCYSTIC
CONVULSIONES,SEIZURES
PERFORACION TIMPANICA,TYMPAN PERFORATION
DONANTE MEDULA OSEA,BONE MARROW DONOR
LESION HOMBRO DERECHO,RIGHT SHOULDER INJURY
SINTOMAS GASTROINTESTINALES,GASTROINTESTINAL SYMPTOMS
TUMOR PARPADO INF IZQ,LOWER LEFT EYELID TUMOR
FRACTURA DE CLAVICULA,CLAVICLE FRACTURE
LESION CADERA IZQ,LEFT HIP INJURY
DEFORMIDAD NASAL,NASAL DEFORMITY
DONANTE VIVO TX RENAL,LIVE DONOR KIDNEY TX
OTOESCLEROSIS OD.,OTOSCLEROSIS OD.
TENOSINOVITIS MUÑECA DERECHA,TENOSYNOVITIS OF THE RIGHT WRIST
CA PIEL,CA SKIN
SOSPECHA PARKINSON,SUSPECTED PARKINSON
ACORTAMIENTO FEMUR,FEMUR SHORTENING
LESION COMPLEJA RODILLA  DERECHA,COMPLEX RIGHT KNEE INJURY
CIRUGIA MAXILOFACIAL,MAXILLOFACIAL SURGERY
"CIRROSIS, VÁRICES ESOFÁGICAS.,""CIRRHOSIS, ESOPHAGEAL VARICES."""
ADENOPATIAS MESENTERICAS.,MESENTERIC DENOPATHIES.
INFECCIÓN URINARIA A REPETICIÓN,REPEATED URINARY INFECTION
CA DE CANAL ANAL.,ANAL CHANNEL AC.
CA GASTRICO.,GASTRIC CA.
ENFERMEDAD ACIDO PEPTICA.,ACID PEPTIC DISEASE.
POLIARTRALGIAS.,POLYARTHRALGIES.
SENSACION DE ODIOS TAPADOS.,SENSATION OF COVERED HATES.
CRISIS DE AUSENCIA.,CRISIS OF ABSENCE.
COLELITIASIS.,CHOLELITHIASIS.
COLECISTITIS-COLEDOCOLITIASIS,CHOLECYSTITIS-CHOLEDOCOLITIASIS
ENDOMETRIOSIS .,ENDOMETRIOSIS.
CA DE PANCREAS .,CA OF PANCREAS.
ESION RODILLA IZQUIERDA,LEFT KNEE ESION
HIPERPLASIA DE PRÓSTATA,PROSTATE HYPERPLASIA
LESION DE PLEJO BRAQUIAL,BRACHIAL PLEXUS INJURY
"DISCOPATIA CERVICAL , CANAL ESTRECHO CEVICAL .,""CERVICAL DISCOPATHY, NARROW CEVICAL CANAL."""
LESION LIGAMENTOS RODILLA DERECHA,RIGHT KNEE LIGAMENT INJURY
LESION DEGENERATIVA COLUMNA LUMBAR,DEGENERATIVE LUMBAR SPINE INJURY
INFECCION VIAS URINARIAS RECURRENTES,RECURRENT URINARY TRACT INFECTION
ARTROSIS DE CADERA BILATERAL,BILATERAL HIP ARTHROSIS
DOLOR ABOMINAL EN ESTUDIO,ABOMINAL PAIN IN STUDY
CA BASOCELULAR NASAL,NASAL BASIC CELLULAR AC
DOLOR CERVIAL,CERVIAL PAIN
MASA EN CUELLO,NECK MASS
HIPERTROFIA DE CORNETES .,CORNETAL HYPERTROPHY.
SD MANGUITO ROTADOR .DERECHO,SD ROTATOR Cuff. RIGHT
SECUWNCIA DE PIERRE ROBAN,PIERRE ROBAN SEQUENCE
DISFUNCION DE ATM,TMJ DYSFUNCTION
HIDROCELE DER/FIMOSIS,DER HYDROCELE/PHIMOSIS
LESION URETRAL,URETHRAL INJURY
HERNIA INGUINAL IZDA,LEFT INGUINAL HERNIA
FRACTURA CODO,ELBOW FRACTURE
LES FIBROCARTILAGO MUÑECA,WRIST FIBROCARTILAGE
AMIGDALITIS CRONICA,CHRONIC TONSILLITIS
HERNIA INGUINAL DER,RIGHT INGUINAL HERNIA
ACORTAMIENTO METATARSIANO,METATARSAL SHORTENING
LESION EN RODILLA DERECHA,RIGHT KNEE INJURY
DUCTUS ARTERIOSO PERSISTENTE,PERSISTENT DUCTUS ARTERIOSUS
LUMBALGIA,LUMBALGIA
SINUSITIS CRÓNICA,CHRONIC SINUSITIS
MALFORMACIÓN VENOS ASUBMAXILAR,ASUBMAXILLARY VEIN MALFORMATION
HIPERHIDROSIS PALMAR,PALMAR HYPERHYDROSIS
QUISTE EPIDERMICO,EPIDERMAL CYST
HERNIA DISCAL LUMBAR,LUMBAR DISC HERNIATION
DOLOR EN CADERA,HIP PAIN
FÍSTULA VESICO VAGINAL,VESICOVAGINAL FISTULA
HERNIA INGUINAL  DERECHA,RIGHT INGUINAL HERNIA
FISTULA TIROGLOSO,THYROGLOSSUS FISTULA
POP FRACTURA DE CLAVICULA,POP CLAVICLE FRACTURE
IVU A REPETICION,REPEATED UTI
PTERIGION OD,PTERYGION OD
MIOMATOSIS,MYOMATOSIS
HERNIA INGUINAL IZQUIERDO. LESION OSTOCONDRAL HALLUX DERECHO,LEFT INGUINAL HERNIA. RIGHT HALLUX OSTOCONDRAL LESION
DESVIACION DE TABIQUE,SEPTOM DEVIATION
RADICULOPATÍA L4L5,L4L5 RADICULOPATHY
FRACTURA DE RADIO,RADIO FRACTURE
PARALISIS FACIAL IZQUIERDA,LEFT FACIAL PARALYSIS
"ADENOAMIGDALECTOMIA , TURBINOPLASTIA .,""ADENOAMIGDALECTOMY, TURBINOPLASTY."""
"PTERIGION , SIMBLEFARON OD,""PTERIGION, SYMBLEPHARON OD"""
POP FIJACION COLUMNA CERVICAL,POP CERVICAL SPINE FIXATION
LITIASIS RENAL IZQUIERDA,LEFT KIDNEY LITIASIS
HIPOACUSIA,HYPOAUSIA
POLIPOS NASALES .,NASAL POLYPS.
FX PERONE IZQ,FX LEFT PERONE
ESGUINCE TOBILLO IZQ,LEFT ANKLE SPRAIN
SD DE TUNEL CARPIANO,CARPAL TUNNEL SD
DOLOR CADERA IZQ,LEFT HIP PAIN
CATARATAS,FALLS
TUNEL CARPIANO,CARPAL TUNNEL
TOBILLO IZQUIERDO,LEFT ANKLE
QUISTE ARACNOIDEO BIFRONTAL GIGANTE DERIVADO,DERIVED GIANT BIFRONTAL ARACHNOID CYST
TUMOR DIFUSO DEL TALLO,DIFFUSE STEM TUMOR
QUISTE DE MAMA RECIDIVANTE.,RECURRING BREAST CYST.
SX DE TUNEL DEL CARPO,CARPAL TUNNEL SX
SECUELAS DE FX DE FEMUR POP,FEMUR POP FX SEQUELS
RECOARTACION DE AORTA,AORTA RECOARTTION
MIGRAÑA ABDOMINAL,ABDOMINAL MIGRAINE
BOLSA ILEAL,ILEAL BAG
ATRESIA CONGENITA DE COANA,CONGENITAL ATRESIA OF CHOHANA
TENDINITIS DE ECR,ECR TENDINITIS
DIENTE SUPERNUMERARIO,SUPERNUMERARY TOOTH
HIPERTROFIA AMIGDALINA,TONSILLA HYPERTROPHY
TUNEL CARPIANO IZQUIERDA,LEFT CARPAL TUNNEL
LESOIN MENISCO RODILLA DERECHA,RIGHT KNEE MENISCUS LESOIN
HIPERTROFIA PROSTATICA,PROSTATIC HYPERTROPHY
LESION MENISCAL RODILLA IZQ,LEFT KNEE MENISCAL INJURY
TUMOR DE OVARIO,OVARIAN TUMOR
LESIONES PERIANALES,PERIANAL INJURIES
QUISTE PILONIDAL,PILONIDAL CYST
GANGLIOS MEDIASTINALES N ESTUDIO,MEDIASTINAL GANGLIA N STUDY
HEMATURIA,HEMATURIA
PAPILOMATOSIS LARINGEA .,LARYNGEAL PAPILLOMATOSIS.
TUMOR ODONTOGENO,ODONTOGENOUS TUMOR
INSUFICIENCIA VENOSA .,VENOUS INSUFFICIENCY.
SD TUNEL CARPIANO,SD CARPAL TUNNEL
OBSTRUCCIÓN NASAL.,NASAL OBSTRUCTION.
LESION ESCAPULAR IZQUIERDA,LEFT SCAPULAR INJURY
DESPRENDIMIENTO RETINA IZQUIERDA,LEFT RETINAL DETACHMENT
SINDROME EMETICO EN ESTUDIO,EMETIC SYNDROME IN STUDY
INCONTINENCIA URINARIA,URINARY INCONTINENCE
SINDACTILIA,SYNDACTYLY
